,date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
66,2024-11-07,CAT,CAT,408.82,De Lange Bob,0001694342,Officer (Group President),Sale,5329,2178601.78,78435,https://www.sec.gov/Archives/edgar/data/18230/000110465924115984/tm2427956-1_4seq1.xml
67,2024-11-07,CAT,CAT,411.13,De Lange Bob,0001694342,Officer (Group President),Sale,4830,1985757.9,73605,https://www.sec.gov/Archives/edgar/data/18230/000110465924115984/tm2427956-1_4seq1.xml
68,2024-11-07,CAT,CAT,411.61,De Lange Bob,0001694342,Officer (Group President),Sale,2498,1028201.78,71107,https://www.sec.gov/Archives/edgar/data/18230/000110465924115984/tm2427956-1_4seq1.xml
71,2024-11-06,CAT,CAT,409.84,Fassino Anthony D.,0001839757,Officer (Group President),Sale,5509,2257808.56,33442,https://www.sec.gov/Archives/edgar/data/18230/000110465924115375/tm2427666-3_4seq1.xml
72,2024-11-06,CAT,CAT,418.0,DICKINSON DANIEL M,0001264714,Director,Sale,1300,543400.0,4976,https://www.sec.gov/Archives/edgar/data/18230/000110465924115201/tm2427666-2_4seq1.xml
73,2024-11-04,CAT,CAT,378.84,Johnson Cheryl H,0001552649,Officer (Chief Human Resources Officer),Sale,2664,1009229.76,12951,https://www.sec.gov/Archives/edgar/data/18230/000110465924114185/tm2427462-1_4seq1.xml
76,2024-11-01,CAT,CAT,380.98,Schaupp William E,0001739758,Officer (Chief Accounting Officer),Sale,968,368788.64,1686,https://www.sec.gov/Archives/edgar/data/18230/000110465924113834/tm2427431-1_4seq1.xml
77,2024-09-04,CAT,CAT,338.59,Johnson Gerald,0001772226,Director,Purchase,100,33859.0,2842,https://www.sec.gov/Archives/edgar/data/18230/000110465924097270/tm2423441-1_4seq1.xml
80,2024-08-30,CAT,CAT,351.36,Fassino Anthony D.,0001839757,Officer (Group President),Sale,3185,1119081.6,33442,https://www.sec.gov/Archives/edgar/data/18230/000110465924096430/tm2423271-1_4seq1.xml
81,2024-08-22,CAT,CAT,342.48,Johnson Cheryl H,0001552649,Officer (Chief Human Resources Officer),Sale,2975,1018878.0,15615,https://www.sec.gov/Archives/edgar/data/18230/000110465924092303/tm2422558-1_4seq1.xml
82,2024-07-16,CAT,CAT,350.0,Johnson Cheryl H,0001552649,Officer (Chief Human Resources Officer),Sale,1508,527800.0,18515,https://www.sec.gov/Archives/edgar/data/18230/000110465924080498/tm2419406-2_4seq1.xml
84,2024-06-12,CAT,CAT,328.73,MacLennan David,0001498535,Director,A,517,169953.41,6260,https://www.sec.gov/Archives/edgar/data/18230/000110465924071183/tm2417161-4_4seq1.xml
85,2024-06-12,CAT,CAT,328.73,Johnson Gerald,0001772226,Director,A,517,169953.41,2730,https://www.sec.gov/Archives/edgar/data/18230/000110465924071182/tm2417161-3_4seq1.xml
86,2024-06-12,CAT,CAT,328.73,WILKINS RAYFORD JR,0001184395,Director,A,517,169953.41,7522,https://www.sec.gov/Archives/edgar/data/18230/000110465924071181/tm2417161-8_4seq1.xml
87,2024-06-12,CAT,CAT,328.73,Fish James C Jr,0001523568,Director,A,517,169953.41,5427,https://www.sec.gov/Archives/edgar/data/18230/000110465924071180/tm2417161-2_4seq1.xml
88,2024-06-12,CAT,CAT,328.73,SCHWAB SUSAN C,0001202958,Director,A,517,169953.41,10825,https://www.sec.gov/Archives/edgar/data/18230/000110465924071179/tm2417161-7_4seq1.xml
89,2024-06-12,CAT,CAT,328.73,REED DEBRA L,0001225947,Director,A,517,169953.41,12219,https://www.sec.gov/Archives/edgar/data/18230/000110465924071178/tm2417161-6_4seq1.xml
90,2024-06-12,CAT,CAT,328.73,DICKINSON DANIEL M,0001264714,Director,A,517,169953.41,6274,https://www.sec.gov/Archives/edgar/data/18230/000110465924071177/tm2417161-1_4seq1.xml
91,2024-06-12,CAT,CAT,328.73,Marks Judith Fran,0001665490,Director,A,517,169953.41,1227,https://www.sec.gov/Archives/edgar/data/18230/000110465924071176/tm2417161-5_4seq1.xml
92,2024-05-30,CAT,CAT,340.0,Johnson Cheryl H,0001552649,Officer (Chief Human Resources Officer),Sale,1508,512720.0,20023,https://www.sec.gov/Archives/edgar/data/18230/000110465924067037/tm2416149-1_4seq1.xml
93,2024-05-20,CAT,CAT,356.4,Johnson Gerald,0001772226,Director,Purchase,100,35640.0,2213,https://www.sec.gov/Archives/edgar/data/18230/000110465924064287/tm2415319-1_4seq1.xml
98,2024-05-13,CAT,CAT,356.9,De Lange Bob,0001694342,Officer (Group President),Sale,21847,7797194.3,71115,https://www.sec.gov/Archives/edgar/data/18230/000110465924061054/tm2414461-1_4seq1.xml
99,2024-05-03,CAT,CAT,337.39,MacLennan David,0001498535,Director,Purchase,500,168695.0,5738,https://www.sec.gov/Archives/edgar/data/18230/000110465924057273/tm2413521-1_4seq1.xml
100,2024-04-29,CAT,CAT,348.86,SCHWAB SUSAN C,0001202958,Director,D,8579,2992869.94,14593,https://www.sec.gov/Archives/edgar/data/18230/000110465924055039/tm2413130-1_4seq1.xml
101,2024-04-29,CAT,CAT,349.92,SCHWAB SUSAN C,0001202958,Director,D,4302,1505355.84,10291,https://www.sec.gov/Archives/edgar/data/18230/000110465924055039/tm2413130-1_4seq1.xml
